Year,Month,Anomaly,Unc,Temps
1874,1,-0.95,0.847,7.52
1874,2,-1.53,1.393,9.19
1874,3,-1.6,0.924,10.27
1874,4,-0.44,1.441,15.56
1874,5,0.2,1.426,13.63
1874,6,0.2,1.219,18.61
1874,7,-0.16,1.126,19.63
1874,8,-0.34,1.11,19.41
1874,9,0.01,1.089,19.5
1874,10,-1.44,0.623,15.24
1874,11,-0.4,1.219,11.94
1874,12,-0.93,1.053,7.85
1875,1,-0.56,0.699,7.91
1875,2,-0.25,0.696,10.47
1875,3,-1.31,0.761,10.56
1875,4,1.23,1.901,17.23
1875,5,1.17,1.866,14.6
1875,6,0.02,0.714,18.43
1875,7,0.17,0.403,19.96
1875,8,0.13,0.966,19.88
1875,9,-1.03,1.416,18.46
1875,10,0.9,2.36,17.58
1875,11,0.02,1.966,12.36
1875,12,0.55,0.638,9.33
1876,1,-0.91,1.485,7.56
1876,2,-1.07,2.022,9.65
1876,3,-1.23,1.149,10.64
1876,4,-0.5,1.449,15.5
1876,5,-0.69,0.65,12.74
1876,6,1.43,0.875,19.84
1876,7,-0.87,1.176,18.92
1876,8,-1.19,1.562,18.56
1876,9,-0.81,0.496,18.68
1876,10,-0.66,0.724,16.02
1876,11,0.09,0.751,12.43
1876,12,0.42,1.148,9.2
1877,1,1.74,1.178,10.21
1877,2,1.23,1.111,11.95
1877,3,2.23,1.037,14.1
1877,4,0.2,0.931,16.2
1877,5,-0.89,0.618,12.54
1877,6,1.36,0.662,19.77
1877,7,0.57,0.574,20.36
1877,8,-0.46,0.696,19.29
1877,9,0.19,0.849,19.68
1877,10,-1.29,0.583,15.39
1877,11,0.23,1.041,12.57
1877,12,0.88,1.125,9.66
1878,1,1.5,0.892,9.97
1878,2,0.19,0.774,10.91
1878,3,1.16,0.656,13.03
1878,4,0.63,0.651,16.63
1878,5,0.08,0.689,13.51
1878,6,0.14,0.786,18.55
1878,7,-0.88,0.539,18.91
1878,8,-0.52,1.08,19.23
1878,9,-1.87,0.478,17.62
1878,10,-0.92,0.612,15.76
1878,11,0.06,0.666,12.4
1878,12,-0.5,1.091,8.28
1879,1,-1.13,1.504,7.34
1879,2,1.06,1.321,11.78
1879,3,1.83,0.719,13.7
1879,4,1.02,0.61,17.02
1879,5,-1.17,1.007,12.26
1879,6,0.56,0.741,18.97
1879,7,-0.53,0.595,19.26
1879,8,0.93,0.886,20.68
1879,9,-0.23,1.016,19.26
1879,10,-0.61,0.798,16.07
1879,11,-0.99,0.749,11.35
1879,12,-1.15,1.257,7.63
1880,1,-1.43,1.327,7.04
1880,2,-2.84,0.829,7.88
1880,3,-2.08,1.58,9.79
1880,4,-1.23,0.809,14.77
1880,5,-0.18,0.483,13.25
1880,6,-1.41,1.104,17
1880,7,-0.71,0.757,19.08
1880,8,-0.99,0.882,18.76
1880,9,-1.22,1.24,18.27
1880,10,-1.09,0.722,15.59
1880,11,-1.84,0.678,10.5
1880,12,0.83,0.804,9.61
1881,1,1.73,1.175,10.2
1881,2,1.48,0.869,12.2
1881,3,0.83,0.805,12.7
1881,4,2.3,0.92,18.3
1881,5,0.79,0.931,14.22
1881,6,-0.77,1.047,17.64
1881,7,-0.19,0.795,19.6
1881,8,-1.25,1.439,18.5
1881,9,-1.55,0.5,17.94
1881,10,-3.1,0.705,13.58
1881,11,-1.33,0.885,11.01
1881,12,-0.08,0.884,8.7
1882,1,-1.01,1.279,7.46
1882,2,-2.76,1.475,7.96
1882,3,-0.39,1.085,11.48
1882,4,-0.86,0.709,15.14
1882,5,0.01,0.518,13.44
1882,6,-0.76,0.816,17.65
1882,7,-0.09,0.911,19.7
1882,8,-0.49,0.859,19.26
1882,9,-1.55,0.785,17.94
1882,10,-1.74,0.688,14.94
1882,11,-1.65,0.718,10.69
1882,12,1.09,0.934,9.87
1883,1,-1.98,0.82,6.49
1883,2,-2.67,0.944,8.05
1883,3,1.33,0.9,13.2
1883,4,-0.77,0.331,15.23
1883,5,-0.26,0.458,13.17
1883,6,1.92,0.546,20.33
1883,7,0.12,0.916,19.91
1883,8,-0.53,0.399,19.22
1883,9,0.74,0.61,20.23
1883,10,-2.19,0.412,14.49
1883,11,-1.23,0.392,11.11
1883,12,-0.35,0.938,8.43
1884,1,-0.06,0.693,8.41
1884,2,-1.37,0.852,9.35
1884,3,0.13,0.85,12
1884,4,-0.04,0.742,15.96
1884,5,0.48,0.561,13.91
1884,6,-0.99,1.548,17.42
1884,7,-0.3,1.139,19.49
1884,8,-0.14,0.734,19.61
1884,9,-2.31,0.699,17.18
